symbol,date,open,high,low,close,volume
XOM,2026-02-20,159.47,161.17,158.67,160.97,13771606
XOM,2026-02-21,160.97,161.91,158.5,159.05,9281079
XOM,2026-02-22,159.05,159.43,155.51,156.31,17903708
XOM,2026-02-23,156.31,160.28,155.58,159.38,12116009
XOM,2026-02-24,159.38,160.5,158.84,160.14,7791146
XOM,2026-02-25,160.14,161.13,158.18,159.56,4538926
XOM,2026-02-26,159.56,164.12,158.51,162.75,2652874
JPM,2026-01-28,180.0,182.94,179.95,182.41,15716598
JPM,2026-01-29,182.41,184.29,182.07,183.22,5753197
JPM,2026-01-30,183.22,183.57,181.95,183.31,5236367
JPM,2026-01-31,183.31,186.02,182.8,185.84,3894064
JPM,2026-02-01,185.84,187.03,184.25,185.84,1215038
JPM,2026-02-02,185.84,186.47,182.32,183.53,13061557
JPM,2026-02-03,183.53,187.09,183.06,185.91,14328288
JPM,2026-02-04,185.91,189.13,184.95,187.43,17161429
JPM,2026-02-05,187.43,189.15,186.45,186.59,5437325
JPM,2026-02-06,186.59,187.57,181.41,183.05,16935454
JPM,2026-02-07,183.05,184.46,179.01,179.66,10828658
JPM,2026-02-08,179.66,180.35,176.48,177.25,16338008
JPM,2026-02-09,177.25,178.58,177.12,177.29,13746264
JPM,2026-02-10,177.29,178.59,174.9,176.39,6073403
JPM,2026-02-11,176.39,177.48,175.76,177.26,18143494
JPM,2026-02-12,177.26,179.26,175.71,177.63,6057512
JPM,2026-02-13,177.63,182.36,177.47,180.59,9506438
JPM,2026-02-14,180.59,183.37,179.74,183.01,3298868
JPM,2026-02-15,183.01,184.24,182.57,183.31,18849266
JPM,2026-02-16,183.31,184.76,182.04,183.39,14742432
JPM,2026-02-17,183.39,183.89,181.83,182.73,11189990
JPM,2026-02-18,182.73,184.72,181.63,182.99,2173909
JPM,2026-02-19,182.99,184.12,180.37,180.58,4569847
JPM,2026-02-20,180.58,181.38,179.47,179.51,4962425
JPM,2026-02-21,179.51,183.05,178.7,182.77,18604407
JPM,2026-02-22,182.77,186.82,181.34,186.36,15301976
JPM,2026-02-23,186.36,186.88,183.62,185.29,2406836
JPM,2026-02-24,185.29,186.07,182.47,183.69,19030124
JPM,2026-02-25,183.69,185.48,181.84,183.29,3554724
JPM,2026-02-26,183.29,186.77,182.32,186.64,5818592
JNJ,2026-01-28,200.0,203.92,198.65,202.65,10072188
JNJ,2026-01-29,202.65,205.15,202.58,204.3,15188366
JNJ,2026-01-30,204.3,204.73,200.28,201.81,9371822
JNJ,2026-01-31,201.81,202.49,197.11,198.42,3467559
JNJ,2026-02-01,198.42,201.66,197.47,199.95,19898972
JNJ,2026-02-02,199.95,205.53,199.65,203.53,12066867
JNJ,2026-02-03,203.53,204.18,200.45,201.37,18330517
JNJ,2026-02-04,201.37,203.91,199.82,203.01,13560118
JNJ,2026-02-05,203.01,204.12,200.24,201.63,16024463
JNJ,2026-02-06,201.63,203.36,201.16,201.66,19172502
JNJ,2026-02-07,201.66,202.73,199.86,202.02,10807946
JNJ,2026-02-08,202.02,202.9,198.39,198.76,7612548
JNJ,2026-02-09,198.76,199.02,194.46,195.94,17946824
JNJ,2026-02-10,195.94,196.54,193.41,194.41,1798908
JNJ,2026-02-11,194.41,196.23,190.93,191.45,12224262
JNJ,2026-02-12,191.45,192.01,190.41,190.59,15297944
JNJ,2026-02-13,190.59,194.37,189.9,193.97,13205798
JNJ,2026-02-14,193.97,197.15,192.1,196.68,16046447
JNJ,2026-02-15,196.68,200.08,196.36,199.03,3946706
JNJ,2026-02-16,199.03,199.2,195.21,195.46,8430859
JNJ,2026-02-17,195.46,198.02,194.1,196.65,11168292
JNJ,2026-02-18,196.65,197.54,194.53,195.48,12339587
JNJ,2026-02-19,195.48,198.72,194.61,197.53,18180718
JNJ,2026-02-20,197.53,198.36,193.4,195.2,19193959
JNJ,2026-02-21,195.2,199.91,194.63,198.21,1427919
JNJ,2026-02-22,198.21,200.16,196.88,200.03,1470805
JNJ,2026-02-23,200.03,200.81,195.86,196.2,15926021
JNJ,2026-02-24,196.2,199.84,195.54,199.72,17198020
JNJ,2026-02-25,199.72,204.33,199.46,203.27,8860368
JNJ,2026-02-26,203.27,205.3,198.35,200.03,13040415
V,2026-01-28,220.0,225.03,219.16,224.54,2282709
V,2026-01-29,224.54,226.09,220.44,220.56,7919011
V,2026-01-30,220.56,225.91,219.8,223.8,8793817
V,2026-01-31,223.8,229.11,223.34,226.84,14454981
V,2026-02-01,226.84,227.94,222.31,224.46,17451995
V,2026-02-02,224.46,228.63,223.75,226.44,11469591
V,2026-02-03,226.44,231.12,225.35,229.99,4661271
V,2026-02-04,229.99,231.61,227.41,228.66,18546066
V,2026-02-05,228.66,229.26,224.8,225.41,16523493
V,2026-02-06,225.41,229.23,224.52,227.28,14673664
V,2026-02-07,227.28,231.33,226.52,230.7,4660689
V,2026-02-08,230.7,232.59,227.04,227.51,10545579
V,2026-02-09,227.51,228.75,223.96,225.9,18500155
V,2026-02-10,225.9,227.44,220.9,222.91,15820035
V,2026-02-11,222.91,225.03,218.15,219.41,12632425
V,2026-02-12,219.41,220.75,218.15,219.22,6405609
V,2026-02-13,219.22,222.65,219.15,220.6,4454995
V,2026-02-14,220.6,222.35,215.51,216.71,17451918
V,2026-02-15,216.71,218.27,212.55,212.64,3032910
V,2026-02-16,212.64,218.2,211.39,216.76,16782813
V,2026-02-17,216.76,222.5,215.04,221.26,8389809
V,2026-02-18,221.26,221.61,219.24,220.13,17094926
V,2026-02-19,220.13,220.86,215.4,216.83,4294582
V,2026-02-20,216.83,217.46,212.83,214.37,9974297
V,2026-02-21,214.37,215.38,212.03,212.19,18537223
V,2026-02-22,212.19,213.2,210.7,211.85,14802646
V,2026-02-23,211.85,216.93,211.83,215.5,2089467
V,2026-02-24,215.5,218.67,214.92,216.73,8291636
V,2026-02-25,216.73,219.51,216.16,217.43,7144536
V,2026-02-26,217.43,217.57,214.78,215.83,1881089
PG,2026-01-28,240.0,240.14,235.13,236.3,13617636
PG,2026-01-29,236.3,240.44,234.29,239.48,14821660
PG,2026-01-30,239.48,241.54,236.0,238.25,15995921
PG,2026-01-31,238.25,239.25,234.06,235.08,14157430
PG,2026-02-01,235.08,237.11,232.62,233.37,6520990
PG,2026-02-02,233.37,238.27,232.69,237.92,2876980
PG,2026-02-03,237.92,239.7,233.67,235.94,2385138
PG,2026-02-04,235.94,240.02,234.59,239.53,3539779
PG,2026-02-05,239.53,241.41,237.71,239.13,4285388
PG,2026-02-06,239.13,239.39,235.34,235.38,10475178
PG,2026-02-07,235.38,237.85,233.65,237.42,12845459
PG,2026-02-08,237.42,242.37,237.14,240.37,13091699
PG,2026-02-09,240.37,242.23,239.19,239.91,13307171
PG,2026-02-10,239.91,241.0,236.37,237.49,7577617
PG,2026-02-11,237.49,240.95,236.77,239.89,11413778
PG,2026-02-12,239.89,240.97,234.54,236.05,10521503
PG,2026-02-13,236.05,237.14,233.72,235.89,9531731
PG,2026-02-14,235.89,238.16,231.23,233.55,8032474
PG,2026-02-15,233.55,234.96,229.27,230.96,8119365
PG,2026-02-16,230.96,233.1,227.36,228.04,11858704
PG,2026-02-17,228.04,229.46,222.62,224.65,9276190
PG,2026-02-18,224.65,226.02,222.82,224.17,16660371
PG,2026-02-19,224.17,230.05,222.46,228.01,9704733
PG,2026-02-20,228.01,228.87,226.4,227.38,8373065
PG,2026-02-21,227.38,227.73,225.81,227.48,18512994
PG,2026-02-22,227.48,228.6,225.08,226.93,19623271
PG,2026-02-23,226.93,231.6,226.44,230.03,11451683
PG,2026-02-24,230.03,233.86,227.81,233.09,5135533
PG,2026-02-25,233.09,233.43,228.99,230.04,13441944
PG,2026-02-26,230.04,230.44,224.0,225.73,2795171
